"","stand","ac_type_long","stand_impact","impact","ac_type_long_impact","updated_at"
"182","CG7-2W","ANY SIZE","CG7-2E","Size","ANY SIZE",2020-05-27 02:06:38
"183","CG7-3E","ANY SIZE","CG7-8","Exit","ANY SIZE",2020-05-27 02:06:38
"184","CG7-3E","ANY SIZE","CG7-3W","Size","ANY SIZE",2020-05-27 02:06:38
"185","CG7-3E","ANY SIZE","CG7-7","Size","ANY SIZE",2020-05-27 02:06:38
"186","CG7-3W","ANY SIZE","CG7-9R","Entry","ANY SIZE",2020-05-27 02:06:38
"187","CG7-3W","ANY SIZE","CG7-9","Entry","ANY SIZE",2020-05-27 02:06:38
"188","CG7-3W","ANY SIZE","CG7-7","Size","ANY SIZE",2020-05-27 02:06:38
"189","CG7-3W","ANY SIZE","CG7-8","Entry","ANY SIZE",2020-05-27 02:06:38
"190","CG7-3W","ANY SIZE","CG7-8","Exit","ANY SIZE",2020-05-27 02:06:38
"191","CG7-3W","ANY SIZE","CG7-3E","Size","ANY SIZE",2020-05-27 02:06:38
"192","CG7-4E","ANY SIZE","CG7-8","Exit","ANY SIZE",2020-05-27 02:06:38
"193","CG7-4E","ANY SIZE","CG7-4W","Size","ANY SIZE",2020-05-27 02:06:38
"194","CG7-4E","ANY SIZE","CG7-7","Size","ANY SIZE",2020-05-27 02:06:38
"195","CG7-4E","ANY SIZE","CG7-6","Size","ANY SIZE",2020-05-27 02:06:38
"196","CG7-4E","ANY SIZE","CG7-5","Size","ANY SIZE",2020-05-27 02:06:38
"197","CG7-4W","ANY SIZE","CG7-5","Size","ANY SIZE",2020-05-27 02:06:38
"198","CG7-4W","ANY SIZE","CG7-6","Size","ANY SIZE",2020-05-27 02:06:38
"199","CG7-4W","ANY SIZE","CG7-8","Exit","ANY SIZE",2020-05-27 02:06:38
"200","CG7-4W","ANY SIZE","CG7-7","Size","ANY SIZE",2020-05-27 02:06:38
"201","CG7-4W","ANY SIZE","CG7-4E","Size","ANY SIZE",2020-05-27 02:06:38
"202","CG7-5","Boeing 737 MAX 9","CG7-6","Size","Boeing 737 MAX 9",2021-02-24 23:15:47
"203","CG7-5","ANY SIZE","CG7-6","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"204","CG7-5","ANY SIZE","CG7-4W","Size","ANY SIZE",2020-05-27 02:06:38
"205","CG7-5","ANY SIZE","CG7-7","Size","ANY SIZE",2020-05-27 02:06:38
"206","CG7-5","ANY SIZE","CG7-4E","Size","ANY SIZE",2020-05-27 02:06:38
"207","CG7-6","ANY SIZE","CG7-4W","RESTRICTED_RESOURCE","ANY SIZE",2020-05-27 02:06:38
"208","CG7-6","ANY SIZE","CG7-4E","RESTRICTED_RESOURCE","ANY SIZE",2020-05-27 02:06:38
"209","CG7-6","Boeing 737 MAX 9","CG7-5","Size","Boeing 737 MAX 9",NA
"210","CG7-6","ANY SIZE","CG7-7","RESTRICTED_RESOURCE","ANY SIZE",2020-05-27 02:06:38
"211","CG7-7","ANY SIZE","CG7-6","Size","ANY SIZE",2020-05-27 02:06:38
"212","CG7-7","ANY SIZE","CG7-5","Size","ANY SIZE",2020-05-27 02:06:38
"213","CG7-7","ANY SIZE","CG7-4W","Size","ANY SIZE",2020-05-27 02:06:38
"214","CG7-7","ANY SIZE","CG7-4E","Size","ANY SIZE",2020-05-27 02:06:38
"215","CG7-7","ANY SIZE","CG7-8","Size","ANY SIZE",2020-05-27 02:06:38
"216","CG7-7","ANY SIZE","CG7-3W","Size","ANY SIZE",2020-05-27 02:06:38
"217","CG7-7","ANY SIZE","CG7-3E","Size","ANY SIZE",2020-05-27 02:06:38
"218","CG7-8","ANY SIZE","CG7-4W","Entry","ANY SIZE",2020-05-27 02:06:38
"219","CG7-8","ANY SIZE","CG7-3W","Entry","ANY SIZE",2020-05-27 02:06:38
"220","CG7-8","ANY SIZE","CG7-7","Size","ANY SIZE",2020-05-27 02:06:38
"221","CG7-9","ANY SIZE","CG7-8","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"222","CG7-9","ANY SIZE","CG7-4W","Entry","ANY SIZE",2020-05-27 02:06:38
"223","CG7-9","ANY SIZE","CG7-3W","Entry","ANY SIZE",2020-05-27 02:06:38
"224","CG7-9","ANY SIZE","CG7-2W","Entry","ANY SIZE",2020-05-27 02:06:38
"225","CG7-9R","ANY SIZE","CG7-4W","Entry","ANY SIZE",2020-05-27 02:06:38
"226","CG7-9R","ANY SIZE","CG7-3W","Entry","ANY SIZE",2020-05-27 02:06:38
"227","CG7-9R","ANY SIZE","CG7-1W","Entry","ANY SIZE",2020-05-27 02:06:38
"228","CG7-9R","ANY SIZE","CG7-9","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"229","CG7-9R","ANY SIZE","CG7-8","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"230","CG7-9R","ANY SIZE","CG7-2W","Entry","ANY SIZE",2020-05-27 02:06:38
"231","D-1","ANY SIZE","C-3R","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"232","D-11","ANY SIZE","D-11R","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"233","D-2","ANY SIZE","C-3R","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"234","N-11","ANY SIZE","N-11A","Size","ANY SIZE",2020-05-27 02:06:38
"235","N-11A","ANY SIZE","N-11","Size","ANY SIZE",2020-05-27 02:06:38
"236","N-15","ANY SIZE","N-15A","Size","ANY SIZE",2020-05-27 02:06:38
"237","N-15A","ANY SIZE","N-15","Size","ANY SIZE",2020-05-27 02:06:38
"238","N-16","ANY SIZE","N-16A","Size","ANY SIZE",2021-10-09 23:15:45
"239","N-16A","ANY SIZE","N-17","Size","ANY SIZE",2021-10-09 23:15:45
"240","N-16A","ANY SIZE","N-16","Size","ANY SIZE",2021-10-09 23:15:45
"241","N-17","ANY SIZE","N-16A","Size","ANY SIZE",2021-10-09 23:15:45
"242","O","ANY SIZE","S-1","Size","ANY SIZE",2020-05-27 02:06:38
"243","Q-10","ANY SIZE","C-12","Size","ANY SIZE",2020-05-27 02:06:38
"244","Q-10","ANY SIZE","C-10","Size","ANY SIZE",2020-05-27 02:06:38
"245","Q-12","ANY SIZE","C-12","Size","ANY SIZE",2020-05-27 02:06:38
"246","Q-12","ANY SIZE","C-10","Size","ANY SIZE",2020-05-27 02:06:38
"247","Q-16","ANY SIZE","C-16","Size","ANY SIZE",2020-05-27 02:06:38
"248","Q-18","ANY SIZE","C-18","Size","ANY SIZE",2020-05-27 02:06:38
"249","Q-2","ANY SIZE","C-2","Size","ANY SIZE",2020-05-27 02:06:38
"250","Q-4","ANY SIZE","C-4","Size","ANY SIZE",2020-05-27 02:06:38
"251","Q-5","ANY SIZE","C-6","Size","ANY SIZE",2020-05-27 02:06:38
"252","Q-6","ANY SIZE","C-6","Size","ANY SIZE",2020-05-27 02:06:38
"253","Q-8","ANY SIZE","C-8","Size","ANY SIZE",2020-05-27 02:06:38
"254","S-1","ANY SIZE","S-1A","Size","ANY SIZE",2020-05-27 02:06:38
"255","S-1","ANY SIZE","S-1B","Size","ANY SIZE",2020-05-27 02:06:38
"256","S-10","ANY SIZE","S-10A","Size","ANY SIZE",2020-05-27 02:06:38
"257","S-10","ANY SIZE","S-10B","Size","ANY SIZE",2020-05-27 02:06:38
"258","S-10A","ANY SIZE","S-10","Size","ANY SIZE",2020-05-27 02:06:38
"259","S-10B","ANY SIZE","S-10","Size","ANY SIZE",2020-05-27 02:06:38
"260","S-15","AIRBUS A380-800","S-12","Size","AIRBUS A330-300",2020-05-27 02:06:38
"261","S-15","AIRBUS A380-800","S-16","Size","ANY SIZE",2020-05-27 02:06:38
"262","S-1A","ANY SIZE","S-1","Size","ANY SIZE",2020-05-27 02:06:38
"263","S-1B","ANY SIZE","S-1","Size","ANY SIZE",2020-05-27 02:06:38
"264","S-2","ANY SIZE","S-3","Size","ANY SIZE",2020-05-27 02:06:38
"265","S-3","ANY SIZE","S-3A","Size","ANY SIZE",2020-05-27 02:06:38
"266","S-3","ANY SIZE","S-2","Size","ANY SIZE",2020-05-27 02:06:38
"267","S-3A","ANY SIZE","S-4","Size","ANY SIZE",2020-05-27 02:06:38
"268","S-3A","ANY SIZE","S-3","Size","ANY SIZE",2020-05-27 02:06:38
"269","S-4","ANY SIZE","S-3A","Size","ANY SIZE",2020-05-27 02:06:38
"270","S-4","ANY SIZE","S-4A","Size","ANY SIZE",2020-05-27 02:06:38
"271","S-4A","ANY SIZE","S-4","Size","ANY SIZE",2020-05-27 02:06:38
"272","S-5","ANY SIZE","S-6","Size","ANY SIZE",2020-05-27 02:06:38
"273","S-6","ANY SIZE","S-5","Size","ANY SIZE",2020-05-27 02:06:38
"274","S-6","ANY SIZE","S-6A","Size","ANY SIZE",2020-05-27 02:06:38
"275","S-6A","ANY SIZE","S-6","Size","ANY SIZE",2020-05-27 02:06:38
"276","S-6A","ANY SIZE","S-7","Size","ANY SIZE",2020-05-27 02:06:38
"277","S-7","ANY SIZE","S-6A","Size","ANY SIZE",2020-05-27 02:06:38
"278","S-7","ANY SIZE","S-7A","Size","ANY SIZE",2020-05-27 02:06:38
"279","S-7A","ANY SIZE","S-7","Size","ANY SIZE",2020-05-27 02:06:38
"280","S-8","ANY SIZE","S-9A","Size","ANY SIZE",2021-03-24 23:15:49
"281","S-8","ANY SIZE","S-8A","Size","ANY SIZE",NA
"282","S-8A","ANY SIZE","S-8","Size","ANY SIZE",NA
"283","S-9","ANY SIZE","S-9B","Size","ANY SIZE",2021-03-24 23:15:49
"284","S-9","ANY SIZE","S-9A","Size","ANY SIZE",2021-03-24 23:15:49
"285","S-9A","ANY SIZE","S-9","Size","ANY SIZE",2021-03-24 23:15:49
"286","S-9A","ANY SIZE","S-8","Size","ANY SIZE",2021-03-24 23:15:49
"287","S-9B","ANY SIZE","S-9","Size","ANY SIZE",2021-03-24 23:15:49
